"","sample","Estimator","region_year","region_100","endYear","record_count"
"194","Ratlantic_Y2014",72.747048554187,"Ratlantic_Y2014","atlantic",2014,59070
"195","Ratlantic_Y2015",79.2763914262987,"Ratlantic_Y2015","atlantic",2015,60708
"196","Ratlantic_Y2016",76.5889996091646,"Ratlantic_Y2016","atlantic",2016,72830
"197","Ratlantic_Y2017",73.9010430462823,"Ratlantic_Y2017","atlantic",2017,49664
"198","Ratlantic_Y2018",77.1360442640703,"Ratlantic_Y2018","atlantic",2018,40634
"199","Ratlantic_Y2019",78.3395707451789,"Ratlantic_Y2019","atlantic",2019,44021
"200","Ratlantic_Y2020",73.7995662925876,"Ratlantic_Y2020","atlantic",2020,18190
"201","Rboreal_Y1921",79.7659216116999,"Rboreal_Y1921","boreal",1921,1297
"202","Rboreal_Y1922",99.5415223220507,"Rboreal_Y1922","boreal",1922,1176
"203","Rboreal_Y1923",62.7066564873219,"Rboreal_Y1923","boreal",1923,293
"204","Rboreal_Y1924",42.9071110768515,"Rboreal_Y1924","boreal",1924,1686
"205","Rboreal_Y1925",80.7197117308386,"Rboreal_Y1925","boreal",1925,520
"206","Rboreal_Y1926",88.6081986198828,"Rboreal_Y1926","boreal",1926,1101
"207","Rboreal_Y1927",86.9296337143268,"Rboreal_Y1927","boreal",1927,988
"208","Rboreal_Y1928",83.6823204059121,"Rboreal_Y1928","boreal",1928,699
"209","Rboreal_Y1929",88.4697862034923,"Rboreal_Y1929","boreal",1929,599
"210","Rboreal_Y1930",61.871209957409,"Rboreal_Y1930","boreal",1930,918
"211","Rboreal_Y1931",80.3206447837836,"Rboreal_Y1931","boreal",1931,395
"212","Rboreal_Y1932",88.786129322256,"Rboreal_Y1932","boreal",1932,633
"213","Rboreal_Y1933",94.7603922374564,"Rboreal_Y1933","boreal",1933,496
"214","Rboreal_Y1934",58.6773881938874,"Rboreal_Y1934","boreal",1934,2003
"215","Rboreal_Y1935",78.4232091889796,"Rboreal_Y1935","boreal",1935,952
"216","Rboreal_Y1936",88.8574875240647,"Rboreal_Y1936","boreal",1936,791
"217","Rboreal_Y1937",80.226508697263,"Rboreal_Y1937","boreal",1937,1089
"218","Rboreal_Y1938",87.5284045783594,"Rboreal_Y1938","boreal",1938,826
"219","Rboreal_Y1939",75.3326222613367,"Rboreal_Y1939","boreal",1939,1486
"220","Rboreal_Y1940",81.5443972545331,"Rboreal_Y1940","boreal",1940,1932
"221","Rboreal_Y1941",87.1356726741319,"Rboreal_Y1941","boreal",1941,1327
"222","Rboreal_Y1942",82.3805007041598,"Rboreal_Y1942","boreal",1942,597
"223","Rboreal_Y1943",85.1446168431568,"Rboreal_Y1943","boreal",1943,581
"224","Rboreal_Y1944",88.132098565846,"Rboreal_Y1944","boreal",1944,825
"225","Rboreal_Y1945",91.7540565468157,"Rboreal_Y1945","boreal",1945,1253
"226","Rboreal_Y1946",87.7109269112392,"Rboreal_Y1946","boreal",1946,1187
"227","Rboreal_Y1947",99.6407119681661,"Rboreal_Y1947","boreal",1947,1326
"228","Rboreal_Y1948",96.0514510093919,"Rboreal_Y1948","boreal",1948,1815
"229","Rboreal_Y1949",94.7783601611766,"Rboreal_Y1949","boreal",1949,2802
"230","Rboreal_Y1950",97.3057503983982,"Rboreal_Y1950","boreal",1950,2269
"231","Rboreal_Y1951",98.0210906755194,"Rboreal_Y1951","boreal",1951,2023
"232","Rboreal_Y1952",87.4737379967193,"Rboreal_Y1952","boreal",1952,2320
"233","Rboreal_Y1953",86.4655579925083,"Rboreal_Y1953","boreal",1953,2422
"234","Rboreal_Y1954",93.8324881940108,"Rboreal_Y1954","boreal",1954,3759
"235","Rboreal_Y1955",85.9574706659299,"Rboreal_Y1955","boreal",1955,1766
"236","Rboreal_Y1956",96.6083558904227,"Rboreal_Y1956","boreal",1956,3498
