family,scientificName,Group,1921-1940,1941-1960,1961-1980,1981-2000,2001-2020,mediterranean,alpine,atlantic,continental,boreal
Andrenidae,Andrena leucolippa,bees,0,2,97,222,124,NA,NA,NA,NA,NA
Andrenidae,Andrena leucophaea,bees,0,1,0,27,7,NA,NA,NA,NA,NA
Andrenidae,Andrena leucopsis,bees,0,0,6,1,3,NA,NA,NA,NA,NA
Andrenidae,Andrena levante,bees,0,0,1,1,10,NA,NA,NA,NA,NA
Andrenidae,Andrena limassolica,bees,0,2,0,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena limata,bees,42,47,117,196,256,NA,NA,NA,NA,NA
Andrenidae,Andrena limbata,bees,2,2,23,41,49,NA,NA,NA,NA,NA
Andrenidae,Andrena limonii,bees,0,5,0,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena limosa,bees,0,0,0,0,2,NA,NA,NA,NA,NA
Andrenidae,Andrena lindbergella,bees,1,0,0,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena livens,bees,3,2,16,70,81,-0.00619014625558567,NA,NA,NA,NA
Andrenidae,Andrena longibarbis,bees,0,0,54,107,81,0.0466303038494642,NA,NA,NA,NA
Andrenidae,Andrena lusitania,bees,0,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena macroptera,bees,0,0,0,0,7,NA,NA,NA,NA,NA
Andrenidae,Andrena magna,bees,0,0,0,0,8,NA,NA,NA,NA,NA
Andrenidae,Andrena magunta,bees,0,0,6,5,15,NA,NA,NA,NA,NA
Andrenidae,Andrena marginata,bees,421,436,299,411,3400,NA,-0.0258566515607661,-0.0750713461229494,-0.0368287492179442,0.00552508235534439
Andrenidae,Andrena medeninensis,bees,0,0,0,2,2,NA,NA,NA,NA,NA
Andrenidae,Andrena mehelyi,bees,1,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena melacana,bees,0,0,1,2,3,NA,NA,NA,NA,NA
Andrenidae,Andrena merula,bees,0,0,0,8,62,0.00452167472498488,NA,NA,NA,NA
Andrenidae,Andrena miegiella,bees,6,11,13,30,39,NA,NA,NA,NA,NA
Andrenidae,Andrena minutula,bees,510,547,3065,8516,13513,0.00863742009238326,0.0302985233724566,0.00633456582996634,0.00112402905925104,0.0467126974533814
Andrenidae,Andrena minutuloides,bees,201,362,632,1307,4221,NA,NA,NA,NA,NA
Andrenidae,Andrena mistrensis,bees,0,0,7,0,9,NA,NA,NA,NA,NA
Andrenidae,Andrena mitis,bees,54,65,121,236,527,NA,0.0128400335971988,-0.0317308699507153,-0.0232388786021946,NA
Andrenidae,Andrena mocsaryi,bees,0,0,0,5,27,NA,NA,NA,NA,NA
Andrenidae,Andrena monacha,bees,0,0,1,0,11,NA,NA,NA,NA,NA
Andrenidae,Andrena monilia,bees,2,0,0,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena montana,bees,1,1,2,12,40,NA,-0.00320317140818284,NA,NA,NA
Andrenidae,Andrena morio,bees,42,64,162,106,765,NA,NA,NA,NA,NA
Andrenidae,Andrena mucida,bees,9,2,66,37,75,NA,NA,NA,NA,NA
Andrenidae,Andrena mucronata,bees,0,0,1,1,3,NA,NA,NA,NA,NA
Andrenidae,Andrena murana,bees,1,0,3,0,5,NA,NA,NA,NA,NA
Andrenidae,Andrena muscaria,bees,0,0,1,2,3,NA,NA,NA,NA,NA
Andrenidae,Andrena nana,bees,50,50,96,179,267,NA,NA,NA,NA,NA
Andrenidae,Andrena nanaeformis,bees,0,1,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena nanula,bees,15,113,168,26,193,NA,NA,NA,NA,NA
Andrenidae,Andrena nasuta,bees,2,0,19,17,13,NA,-0.0895617227924844,NA,0.0204959201447286,-0.0117355368277043
Andrenidae,Andrena nebularia,bees,0,0,2,6,1,NA,NA,NA,NA,NA
Andrenidae,Andrena neocypriaca,bees,0,0,3,3,136,NA,NA,NA,NA,NA
Andrenidae,Andrena neovirida,bees,0,0,16,2,1,-0.734935266121037,NA,NA,NA,NA
Andrenidae,Andrena nigriceps,bees,70,85,232,431,1460,NA,NA,NA,NA,NA
Andrenidae,Andrena nigroaenea,bees,479,598,2020,6138,12758,0.00959824688736379,0.0329509455850141,-0.00657326927329615,-0.0108454139676144,0.0667090580666521
Andrenidae,Andrena nigroolivacea,bees,9,12,177,156,401,-0.0293646337029076,NA,NA,0.0800962572502199,NA
Andrenidae,Andrena nigropilosa,bees,0,2,7,83,8,NA,NA,NA,NA,NA
Andrenidae,Andrena nigrospina,bees,346,417,157,119,505,-0.0688410177585664,NA,-0.0437081014354192,-0.0731522152176722,-0.0470415674354812
Andrenidae,Andrena nigroviridula,bees,0,0,13,10,18,NA,NA,NA,NA,NA
Andrenidae,Andrena nilotica,bees,0,0,0,5,14,-0.00548084752895678,NA,NA,NA,NA
Andrenidae,Andrena nisoria,bees,0,0,0,0,3,NA,NA,NA,NA,NA
Andrenidae,Andrena nitida,bees,457,820,1752,5559,10337,NA,NA,NA,NA,NA
Andrenidae,Andrena nitidemula,bees,0,0,0,4,0,NA,NA,NA,NA,NA
Andrenidae,Andrena nitidiuscula,bees,86,134,189,722,408,-0.0617051391423964,-0.00131729772699482,0.0153864114604457,-0.0389311205504984,-0.0100821437801568
Andrenidae,Andrena nitidula,bees,2,4,118,73,147,-0.0328532023460486,NA,NA,-0.0293680573519803,NA
Andrenidae,Andrena niveata,bees,35,56,41,78,87,NA,NA,NA,NA,NA
Andrenidae,Andrena nobilis,bees,0,3,11,6,8,0.0105799083993758,NA,NA,NA,NA
Andrenidae,Andrena nucleola,bees,0,0,0,2,0,NA,NA,NA,NA,NA
Andrenidae,Andrena nuptialis,bees,11,28,25,8,61,-0.0996708216138104,0.00591130781103375,NA,-0.00235170869452652,NA
Andrenidae,Andrena nycthemera,bees,2,18,20,70,506,NA,NA,0.0824046095975987,-0.00165310530189795,-0.0213348327438852
Andrenidae,Andrena obsoleta,bees,0,1,0,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena olympica,bees,0,0,16,8,0,0.0163843561181008,NA,NA,NA,NA
Andrenidae,Andrena omnilaevis,bees,0,0,4,28,5,NA,NA,NA,NA,NA
Andrenidae,Andrena optata,bees,0,0,1,5,34,NA,NA,NA,NA,NA
Andrenidae,Andrena oralis,bees,0,1,2,22,49,NA,NA,NA,0.664731901992156,NA
Andrenidae,Andrena orana,bees,0,3,0,4,36,NA,NA,NA,NA,NA
