region_50,endYear,taxo_group,nsites,mean_nsurv,nrec
atlantic,2020,hoverflies,447,5.77852348993289,64081
boreal,1921,bees,38,1.84210526315789,1250
boreal,1921,hoverflies,11,1.54545454545455,28
boreal,1922,bees,43,2.09302325581395,976
boreal,1922,hoverflies,20,1.55,72
boreal,1923,bees,26,1.73076923076923,281
boreal,1923,hoverflies,16,1.875,59
boreal,1924,bees,39,1.82051282051282,1565
boreal,1924,hoverflies,9,1.33333333333333,37
boreal,1925,bees,35,1.71428571428571,484
boreal,1925,hoverflies,7,1.28571428571429,20
boreal,1926,bees,47,2,1023
boreal,1926,hoverflies,3,1.33333333333333,9
boreal,1927,bees,51,1.96078431372549,912
boreal,1927,hoverflies,5,1,7
boreal,1928,bees,46,2.06521739130435,617
boreal,1928,hoverflies,11,1.27272727272727,32
boreal,1929,bees,35,2.08571428571429,543
boreal,1929,hoverflies,5,1.6,16
boreal,1930,bees,38,1.76315789473684,525
boreal,1930,hoverflies,10,1.7,26
boreal,1931,bees,45,1.68888888888889,446
boreal,1931,hoverflies,14,1.5,50
boreal,1932,bees,50,1.82,624
boreal,1932,hoverflies,9,1.22222222222222,24
boreal,1933,bees,52,1.75,423
boreal,1933,hoverflies,9,1.33333333333333,40
boreal,1934,bees,69,2.01449275362319,1345
boreal,1934,hoverflies,11,2,129
boreal,1935,bees,69,1.79710144927536,656
boreal,1935,hoverflies,22,1.54545454545455,109
boreal,1936,bees,60,1.78333333333333,706
boreal,1936,hoverflies,15,1.33333333333333,72
boreal,1937,bees,65,1.66153846153846,1021
boreal,1937,hoverflies,15,1.73333333333333,135
boreal,1938,bees,51,1.96078431372549,863
boreal,1938,hoverflies,16,1.75,83
boreal,1939,bees,67,1.58208955223881,733
boreal,1939,hoverflies,11,1.90909090909091,82
boreal,1940,bees,57,1.84210526315789,1103
boreal,1940,hoverflies,13,1.53846153846154,54
boreal,1941,bees,46,1.91304347826087,940
boreal,1941,hoverflies,11,1.54545454545455,49
boreal,1942,bees,43,2.02325581395349,563
boreal,1942,hoverflies,12,1.33333333333333,21
boreal,1943,bees,57,1.52631578947368,524
boreal,1943,hoverflies,14,1.35714285714286,31
boreal,1944,bees,48,1.58333333333333,758
boreal,1944,hoverflies,8,1.375,41
boreal,1945,bees,53,2,1404
boreal,1945,hoverflies,14,1.5,52
boreal,1946,bees,45,2.04444444444444,1148
boreal,1946,hoverflies,11,1.54545454545455,36
boreal,1947,bees,68,1.66176470588235,1081
boreal,1947,hoverflies,12,1,27
boreal,1948,bees,74,1.7027027027027,1575
boreal,1948,hoverflies,13,1.30769230769231,50
boreal,1949,bees,92,2.03260869565217,2587
boreal,1949,hoverflies,10,1.5,45
boreal,1950,bees,111,1.95495495495496,2102
boreal,1950,hoverflies,13,1.23076923076923,25
boreal,1951,bees,95,2.04210526315789,1816
boreal,1951,hoverflies,23,1.21739130434783,65
boreal,1952,bees,71,2.15492957746479,2244
boreal,1952,hoverflies,18,1.33333333333333,29
boreal,1953,bees,70,1.98571428571429,2271
boreal,1953,hoverflies,18,1.11111111111111,34
boreal,1954,bees,84,2.22619047619048,3385
boreal,1954,hoverflies,12,1.25,20
boreal,1955,bees,67,1.83582089552239,1663
boreal,1955,hoverflies,10,1.1,18
boreal,1956,bees,106,1.93396226415094,3271
boreal,1956,hoverflies,8,1.375,21
boreal,1957,bees,95,1.83157894736842,2912
boreal,1957,hoverflies,14,1.35714285714286,29
boreal,1958,bees,91,1.97802197802198,4184
boreal,1958,hoverflies,21,1.19047619047619,41
boreal,1959,bees,83,2.04819277108434,3517
boreal,1959,hoverflies,15,1.33333333333333,41
boreal,1960,bees,74,2.14864864864865,2822
boreal,1960,hoverflies,32,1.375,88
boreal,1961,bees,89,2.03370786516854,4415
boreal,1961,hoverflies,27,1.22222222222222,45
boreal,1962,bees,66,2.22727272727273,2457
boreal,1962,hoverflies,10,1.5,30
boreal,1963,bees,69,2.07246376811594,2868
boreal,1963,hoverflies,17,1.41176470588235,56
boreal,1964,bees,68,2.29411764705882,3121
boreal,1964,hoverflies,21,1.76190476190476,160
boreal,1965,bees,70,2.14285714285714,2025
boreal,1965,hoverflies,21,1.61904761904762,106
boreal,1966,bees,50,2.04,1371
boreal,1966,hoverflies,29,1.55172413793103,385
boreal,1967,bees,88,1.85227272727273,1623
boreal,1967,hoverflies,25,1.52,231
boreal,1968,bees,76,2,1733
boreal,1968,hoverflies,21,1.42857142857143,49
boreal,1969,bees,90,1.95555555555556,1643
boreal,1969,hoverflies,25,1.36,286
boreal,1970,bees,92,1.92391304347826,2032
boreal,1970,hoverflies,25,1.68,129
boreal,1971,bees,88,1.79545454545455,1337
boreal,1971,hoverflies,23,1.43478260869565,70
boreal,1972,bees,96,1.77083333333333,1558
boreal,1972,hoverflies,33,1.39393939393939,169
boreal,1973,bees,105,1.8,1674
boreal,1973,hoverflies,26,1.38461538461538,71
boreal,1974,bees,128,2.1171875,2730
boreal,1974,hoverflies,23,1.26086956521739,145
boreal,1975,bees,109,1.98165137614679,2178
boreal,1975,hoverflies,32,1.28125,208
boreal,1976,bees,148,1.83108108108108,3398
boreal,1976,hoverflies,47,1.23404255319149,417
boreal,1977,bees,96,2.11458333333333,2198
boreal,1977,hoverflies,30,1.43333333333333,177
boreal,1978,bees,100,2.02,2149
boreal,1978,hoverflies,28,1.39285714285714,221
boreal,1979,bees,93,1.81720430107527,1143
boreal,1979,hoverflies,28,2.14285714285714,300
boreal,1980,bees,95,1.89473684210526,1544
boreal,1980,hoverflies,54,1.38888888888889,236
boreal,1981,bees,97,1.92783505154639,1553
boreal,1981,hoverflies,54,1.46296296296296,243
boreal,1982,bees,84,1.79761904761905,810
boreal,1982,hoverflies,56,1.60714285714286,324
boreal,1983,bees,93,1.76344086021505,1761
boreal,1983,hoverflies,55,1.81818181818182,335
boreal,1984,bees,91,1.93406593406593,1187
boreal,1984,hoverflies,31,1.7741935483871,278
boreal,1985,bees,72,1.84722222222222,1216
boreal,1985,hoverflies,25,1.84,329
boreal,1986,bees,79,1.82278481012658,1649
