"","endYear",".estimate","std_error","conf.low","conf.high","region_100","min_year","max_year",".smooth",".derivative",".lower_ci",".upper_ci","sig"
"121",1989,62.3967729654433,1.5318388611435,59.3775521033505,65.4159938275361,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.412607814582694,-0.57464654497814,-0.250569084187247,"Decreasing"
"122",1989,82.6638031546186,4.12000690567278,74.5433597339001,90.7842465753371,"boreal",1966,2020,"s(endYear):region_100boreal",0.28100026098343,-0.231133321040311,0.793133843007172,"Stable"
"123",1989,93.5193223445777,3.34695707671906,86.9225432140261,100.116101475129,"continental",1955,2020,"s(endYear):region_100continental",-0.33919303748589,-1.08955559068742,0.41116951571564,"Stable"
"124",1989,68.8402845757309,6.21853229055294,56.5836935598718,81.0968755915899,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.654780208937308,-1.35601138814048,2.6655718060151,"Stable"
"125",1990,104.441158281999,4.69257675205054,95.1921922280983,113.6901243359,"alpine",1966,2020,"s(endYear):region_100alpine",0.54490271702477,-0.228551780004017,1.31835721405356,"Stable"
"126",1990,61.9717661953561,1.50184505967769,59.0116624593633,64.931869931349,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.43730140827528,-0.593315931462169,-0.281286885088391,"Decreasing"
"127",1990,82.9448006384912,3.95325361513563,75.1530243030538,90.7365769739286,"boreal",1966,2020,"s(endYear):region_100boreal",0.280995172431482,-0.231120272028347,0.793110616891311,"Stable"
"128",1990,93.1302553641665,3.28448028497596,86.6566166224718,99.6038941058611,"continental",1955,2020,"s(endYear):region_100continental",-0.438519236307897,-1.1236613389929,0.246622866377101,"Stable"
"129",1990,69.4437750068927,5.9003483520777,57.8143175684585,81.0732324453269,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.552635890566999,-1.28077544728017,2.38604722841417,"Stable"
"130",1991,104.924763470404,4.6756922303529,95.709076439153,114.140450501655,"alpine",1966,2020,"s(endYear):region_100alpine",0.422876798595866,-0.284574360645159,1.13032795783689,"Stable"
"131",1991,61.5223883445973,1.47070911506427,58.6236528738459,64.4211238153487,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.461343024504678,-0.61284134714398,-0.309844701865375,"Decreasing"
"132",1991,83.2257931002714,3.78958929349078,75.7565955600485,90.6949906404943,"boreal",1966,2020,"s(endYear):region_100boreal",0.28099021958845,-0.231111063976401,0.7930915031533,"Stable"
"133",1991,92.6431594441672,3.23512272989035,86.2668033630686,99.0195155252659,"continental",1955,2020,"s(endYear):region_100continental",-0.53522294925733,-1.15918116578542,0.088735267270761,"Stable"
"134",1991,69.9464551852357,5.6590992669817,58.7924944123834,81.1004159580879,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.453188469052306,-1.21052829303407,2.11690523113868,"Stable"
"135",1992,105.288085320486,4.65446993437244,96.1142269700384,114.461943670933,"alpine",1966,2020,"s(endYear):region_100alpine",0.304372063736707,-0.346656017280396,0.95540014475381,"Stable"
"136",1992,61.0493122043306,1.43822471965392,58.2146027658227,63.8840216428386,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.484690889948923,-0.633193858087354,-0.336187921810491,"Decreasing"
"137",1992,83.5067806785997,3.62943109418391,76.353251443215,90.6603099139843,"boreal",1966,2020,"s(endYear):region_100boreal",0.280985406990197,-0.23110542042885,0.793076234409244,"Stable"
"138",1992,92.0607407839992,3.19406368480651,85.7653111819443,98.3561703860541,"continental",1955,2020,"s(endYear):region_100continental",-0.629136168674501,-1.19656914787028,-0.06170318947872,"Decreasing"
"139",1992,70.3511080914671,5.4804571692311,59.5492469826579,81.1529692002764,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.35661070428843,-1.14610386010114,1.859325268678,"Stable"
"140",1993,105.534749286284,4.62574250245181,96.4175120752845,114.651986497283,"alpine",1966,2020,"s(endYear):region_100alpine",0.189594643545252,-0.41601684447896,0.795206131569463,"Stable"
"141",1993,60.5532520635062,1.40424915100529,57.7855077270514,63.320996399961,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.507304403066765,-0.65429282417732,-0.360315981956211,"Decreasing"
"142",1993,83.7877635206679,3.47326355367417,76.9420370889912,90.6334899523446,"boreal",1966,2020,"s(endYear):region_100boreal",0.280980748433083,-0.231103057597004,0.793064554463169,"Stable"
"143",1993,91.3858725015707,3.15711427839116,85.1632693707074,97.6084756324341,"continental",1955,2020,"s(endYear):region_100continental",-0.720095555570686,-1.23639242856203,-0.203798682579345,"Decreasing"
"144",1993,70.6606883606564,5.34937477380321,60.1171877837333,81.2041889375794,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.263070588964496,-1.08854573990703,1.61468691783602,"Stable"
"145",1994,105.668583519034,4.58727128961435,96.6271722263706,114.709994811697,"alpine",1966,2020,"s(endYear):region_100alpine",0.0787437005513263,-0.49369025109926,0.651177652201913,"Stable"
"146",1994,60.034962146587,1.36870212831282,57.3372802137053,62.7326440794687,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.529144316198585,-0.676005879451379,-0.382282752945791,"Decreasing"
"147",1994,84.0687417818974,3.32164929791791,77.5218437293547,90.6156398344402,"boreal",1966,2020,"s(endYear):region_100boreal",0.280976247593156,-0.231103671027383,0.793056166213694,"Stable"
"148",1994,90.6215883492759,3.12078419548869,84.4705910165177,96.772585682034,"continental",1955,2020,"s(endYear):region_100continental",-0.807943262970368,-1.27932637426155,-0.336560151679185,"Decreasing"
"149",1994,70.8783158199393,5.25130727070664,60.5281041448408,81.2285274950379,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.172730432797208,-1.03916980386793,1.38463066946235,"Stable"
"150",1995,105.693609984957,4.53764860407666,96.7500039192074,114.637216050707,"alpine",1966,2020,"s(endYear):region_100alpine",-0.0279902852598559,-0.580201161427221,0.52422059090751,"Stable"
"151",1995,59.4952348635713,1.33156500250484,56.8707493926947,62.1197203344479,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.5501731045717,-0.698156718253378,-0.402189490890022,"Decreasing"
"152",1995,84.3497156255783,3.17524058324804,78.0913859446419,90.6080453065147,"boreal",1966,2020,"s(endYear):region_100boreal",0.280971914111936,-0.231106951671201,0.793050779895073,"Stable"
"153",1995,89.7710756749752,3.08228652478718,83.6959564084238,95.8461949415265,"continental",1955,2020,"s(endYear):region_100continental",-0.89252834425497,-1.3261132969774,-0.458943391532537,"Decreasing"
"154",1995,71.0072682497857,5.17317083324275,60.8110617824572,81.2034747171142,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.0857454719337979,-0.999627505093397,1.17111844896099,"Stable"
"155",1996,105.614034560097,4.47620942072222,96.7915237797837,114.43654534041,"alpine",1966,2020,"s(endYear):region_100alpine",-0.130430200108772,-0.675265904951717,0.414405504734173,"Stable"
"156",1996,58.9348988584714,1.29288054203851,56.386659612339,61.4831381046037,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.570355873214,-0.720539212515686,-0.420172533912315,"Decreasing"
"157",1996,84.6306852224673,3.0347910760561,78.6491784456502,90.6121919992844,"boreal",1966,2020,"s(endYear):region_100boreal",0.280967755222569,-0.231112582371028,0.793048092816166,"Stable"
"158",1996,88.8376675723018,3.03950333931334,82.84687302776,94.8284621168436,"continental",1955,2020,"s(endYear):region_100continental",-0.973710439544046,-1.37746143750399,-0.569959441584106,"Decreasing"
"159",1996,71.0509733115907,5.10391701066958,60.9912646125303,81.110682010651,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.00226004874846749,-0.971939391904768,0.976459489401703,"Stable"
"160",1997,105.43423602784,4.40295906990043,96.7561000854864,114.112371970195,"alpine",1966,2020,"s(endYear):region_100alpine",-0.228409415558691,-0.77767897761897,0.320860146501588,"Stable"
"161",1997,58.3548168416001,1.25275355130523,55.88566701579,60.8239666674102,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.58965979281699,-0.74293224853121,-0.436387337102769,"Decreasing"
"162",1997,84.9116507503412,2.90116677962127,79.1935145366506,90.6297869640317,"boreal",1966,2020,"s(endYear):region_100boreal",0.280963777647696,-0.231120242458794,0.793047797754186,"Stable"
"163",1997,87.824834161366,2.99093139993661,81.9297738460558,93.7198944766762,"continental",1955,2020,"s(endYear):region_100continental",-1.05135749817123,-1.43386834862611,-0.668846647716358,"Decreasing"
"164",1997,71.012999580992,5.03475005234033,61.0896174426766,80.9363817193074,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",-0.0775900396536636,-0.958436001727529,0.803255922420202,"Stable"
"165",1998,105.158753900747,4.31851941539978,96.6470466689601,113.670461132535,"alpine",1966,2020,"s(endYear):region_100alpine",-0.321772576881422,-0.885486033005639,0.241940879242794,"Stable"
"166",1998,57.7558831902198,1.21135253856952,55.3683338542094,60.1434325262303,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.608054251607804,-0.76511406881156,-0.450994434404048,"Decreasing"
"167",1998,85.1926123935021,2.77535430763358,79.7224498079601,90.6627749790441,"boreal",1966,2020,"s(endYear):region_100boreal",0.280959985786538,-0.231129609324846,0.793049580897922,"Stable"
"168",1998,86.7361729377323,2.93562212099542,80.9501260004493,92.5222198750154,"continental",1955,2020,"s(endYear):region_100continental",-1.12534639793571,-1.49540676181059,-0.755286034060825,"Decreasing"
"169",1998,70.8970466230254,4.95909131046445,61.1227862087149,80.6713070373359,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",-0.153678184618801,-0.961490975516532,0.654134606278931,"Stable"
"170",1999,104.792274984345,4.22409359755957,96.4666789724617,113.117870996229,"alpine",1966,2020,"s(endYear):region_100alpine",-0.410382004124564,-0.996358068560224,0.175594060311096,"Stable"
"171",1999,57.1390213013348,1.16891262635251,54.8351201032593,59.4429224994104,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.625512132354853,-0.786874777833433,-0.464149486876274,"Decreasing"
"172",1999,85.4735703422325,2.65846377980659,80.2337964282071,90.713344256258,"boreal",1966,2020,"s(endYear):region_100boreal",0.280956389638705,-0.231140368914884,0.793053148192295,"Stable"
"173",1999,85.5753981244328,2.87312492282707,79.9125317966241,91.2382644522414,"continental",1955,2020,"s(endYear):region_100continental",-1.19556804320183,-1.56157108689602,-0.829564999507638,"Decreasing"
"174",1999,70.7069340420286,4.87240491974625,61.1035306061868,80.3103374778704,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",-0.225892179458266,-0.982952879402036,0.531168520485505,"Stable"
"175",2000,104.339618596772,4.121447736327,96.2163353303749,112.462901863169,"alpine",1966,2020,"s(endYear):region_100alpine",-0.494110083350293,-1.10795382024599,0.119733653545406,"Stable"
"176",2000,56.5051806796566,1.12573985230304,54.2863720741448,58.7239892851685,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.642008281968778,-0.808021527198241,-0.475995036739316,"Decreasing"
"177",2000,85.7545247921946,2.55172256770881,80.7251354705604,90.7839141138288,"boreal",1966,2020,"s(endYear):region_100boreal",0.280952988957745,-0.231152204706049,0.793058182621539,"Stable"
"178",2000,84.3463289587535,2.80343924205343,78.8208115822724,89.8718463352345,"continental",1955,2020,"s(endYear):region_100continental",-1.26192128502697,-1.63127446866117,-0.89256810139278,"Decreasing"
"179",2000,70.4465894360968,4.77197401450239,61.041133115975,79.8520457562187,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",-0.294128024780695,-1.02335229529245,0.435096245731061,"Stable"
"180",2001,103.805720354435,4.01290633607691,95.89636981187,111.715070897,"alpine",1966,2020,"s(endYear):region_100alpine",-0.572848851388757,-1.21817777471503,0.0724800719375153,"Stable"
"181",2001,55.855333743046,1.08221691413652,53.7223078959072,57.9883595901847,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.657521437377271,-0.828384458221095,-0.486658416533447,"Decreasing"
"182",2001,86.0354759437722,2.4564552204306,81.1938564781422,90.8770954094022,"boreal",1966,2020,"s(endYear):region_100boreal",0.280949792197559,-0.231164817696233,0.79306440209135,"Stable"
"183",2001,83.0528768426142,2.72697786008456,77.6780631761908,88.4276905090375,"continental",1955,2020,"s(endYear):region_100continental",-1.32432057682885,-1.70303465090639,-0.945606502751305,"Decreasing"
"184",2001,70.1200351828877,4.65668442907398,60.9418121118608,79.2982582539146,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",-0.358297732304833,-1.08128663263212,0.364691168022457,"Stable"
"185",2002,103.195614430327,3.90135583711737,95.5061274792785,110.885101381376,"alpine",1966,2020,"s(endYear):region_100alpine",-0.646511907855039,-1.32528769967848,0.0322638839684061,"Stable"
"186",2002,55.190472327036,1.03881022167272,53.143000120535,57.2379445335371,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.672034578559225,-0.847818264336096,-0.496250892782354,"Decreasing"
"187",2002,86.3164240013507,2.37404468507566,81.6372338968704,90.9956141058309,"boreal",1966,2020,"s(endYear):region_100boreal",0.280946804222845,-0.231177919859444,0.793071528305134,"Stable"
"188",2002,81.6990312825482,2.6445425416579,76.4866958241664,86.91136674093,"continental",1955,2020,"s(endYear):region_100continental",-1.38269745180237,-1.7752375277849,-0.990157375819843,"Decreasing"
"189",2002,69.7313739806853,4.52684652586527,60.8090585746235,78.6536893867471,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",-0.41833088781356,-1.15347674585964,0.316814970232524,"Stable"
"190",2003,102.51441418824,3.79024721924897,95.0439198907504,109.98490848573,"alpine",1966,2020,"s(endYear):region_100alpine",-0.71502677791567,-1.42788998544519,-0.00216357038614945,"Decreasing"
"191",2003,54.511603869375,0.996077762303979,52.5483564048408,56.4748513339092,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.685533410701413,-0.86619953664292,-0.504867284759906,"Decreasing"
"192",2003,86.5973691725303,2.30587120061366,82.0525475135506,91.14219083151,"boreal",1966,2020,"s(endYear):region_100boreal",0.280944019834766,-0.231191229997656,0.793079269667188,"Stable"
"193",2003,80.2888445426091,2.55731181352904,75.2484389398164,85.3292501454017,"continental",1955,2020,"s(endYear):region_100continental",-1.43699444951129,-1.846352523086,-1.02763637593659,"Decreasing"
"194",2003,69.2847730658737,4.38406824246781,60.6438705308535,77.9256756008939,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",-0.474168429661484,-1.23552202086258,0.287185161539607,"Stable"
"195",2004,101.767291092919,3.6835834254216,94.5070287981039,109.027553387733,"alpine",1966,2020,"s(endYear):region_100alpine",-0.778351622734083,-1.52492413022989,-0.0317791152382739,"Decreasing"
"196",2004,53.8197472548927,0.954676669619836,51.9381004377348,55.7013940720506,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.698009706474885,-0.883429761474603,-0.512589651475168,"Decreasing"
"197",2004,86.8783116672704,2.25322879650044,82.4372470344121,91.3193763001288,"boreal",1966,2020,"s(endYear):region_100boreal",0.280941448873247,-0.231204500612289,0.793087398358782,"Stable"
"198",2004,78.8264149309836,2.46683957630471,73.9643281272478,83.6885017347193,"continental",1955,2020,"s(endYear):region_100continental",-1.48717843852421,-1.91507664446113,-1.05928023258728,"Decreasing"
"199",2004,68.784447025351,4.23118135866006,60.4448811914954,77.1240128592066,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",-0.525776257320459,-1.32289030245969,0.271337787818773,"Stable"
"200",2005,100.959451793165,3.58587100156085,93.891778546774,108.027125039556,"alpine",1966,2020,"s(endYear):region_100alpine",-0.836458484498155,-1.6155843016506,-0.0573326673457062,"Decreasing"
